Codigo;Nome;;;;;;;;;;;;;;;;
13;Afeganistão;;;;;;;;;;;;;;;;
17;Albânia;;;;;;;;;;;;;;;;
23;Alemanha;;;;;Este arquivo contém todos os países disponíveis para escolha.;;;;;;;;;;;
31;Burkina Faso;;;;;Fique tranquilo, este texto não irá afetar o funcionamento do arquivo.;;;;;;;;;;;
37;Andorra;;;;;;;;;;;;;;;;
40;Angola;;;;;Na segunda coluna, estão os nomes dos países para identificar cada código.;;;;;;;;;;;
41;Anguilla;;;;;;;;;;;;;;;;
43;Antígua e Barbuda;;;;;Caso queira remover alguma opção desta seleção:;;;;;;;;;;;
47;Antilhas Holandesas;;;;;;1-;Movimentar os dados de uma linha para a direita, de forma que a primeira coluna fique vazia;;;;;;;;;
53;Arábia Saudita;;;;;;OU;;;;;;;;;;
59;Argélia;;;;;;2-;Excluir a linha;;;;;;;;;
63;Argentina;;;;;;;;;;;;;;;;
64;Armênia;;;;;OBS: A LISTAGEM DE CÓDIGOS DEVE SER INICIADA A PARTIR DA PRIMEIRA LINHA!;;;;;;;;;;;
65;Aruba;;;;;SÓ SERÃO COMPUTADOS OS CÓDIGOS A PARTIR DA LINHA NÚMERO 2!;;;;;;;;;;;
69;Austrália;;;;;;;;;;;;;;;;
72;Áustria;;;;;;;;;;;;;;;;
73;Azerbaijão;;;;;;;;;;;;;;;;
77;Bahamas;;;;;;;;;;;;;;;;
80;Barein;;;;;;;;;;;;;;;;
81;Bangladesh;;;;;;;;;;;;;;;;
83;Barbados;;;;;;;;;;;;;;;;
85;Belarus;;;;;;;;;;;;;;;;
87;Bélgica;;;;;;;;;;;;;;;;
88;Belize;;;;;;;;;;;;;;;;
90;Bermudas;;;;;;;;;;;;;;;;
93;Mianmar;;;;;;;;;;;;;;;;
97;Bolívia;;;;;;;;;;;;;;;;
98;Bósnia-Herzegovina;;;;;;;;;;;;;;;;
99;Saint Eustatius e Saba Bonaire;;;;;;;;;;;;;;;;
101;Botsuana;;;;;;;;;;;;;;;;
105;Brasil;;;;;;;;;;;;;;;;
108;Brunei;;;;;;;;;;;;;;;;
111;Bulgária;;;;;;;;;;;;;;;;
115;Burundi;;;;;;;;;;;;;;;;
119;Butão;;;;;;;;;;;;;;;;
127;Cabo Verde;;;;;;;;;;;;;;;;
137;Ilhas Cayman;;;;;;;;;;;;;;;;
141;Camboja;;;;;;;;;;;;;;;;
145;Camarões;;;;;;;;;;;;;;;;
149;Canadá;;;;;;;;;;;;;;;;
150;Ilhas do Canal (Guernsey);;;;;;;;;;;;;;;;
151;Ilhas Canárias;;;;;;;;;;;;;;;;
153;Cazaquistão;;;;;;;;;;;;;;;;
154;Catar;;;;;;;;;;;;;;;;
158;Chile;;;;;;;;;;;;;;;;
160;China;;;;;;;;;;;;;;;;
161;Taiwan;;;;;;;;;;;;;;;;
163;Chipre;;;;;;;;;;;;;;;;
165;Ilhas Cocos (Keeling);;;;;;;;;;;;;;;;
169;Colômbia;;;;;;;;;;;;;;;;
173;Comores;;;;;;;;;;;;;;;;
177;Congo;;;;;;;;;;;;;;;;
183;Ilhas Cook;;;;;;;;;;;;;;;;
187;Coreia do Norte;;;;;;;;;;;;;;;;
190;Coreia do Sul;;;;;;;;;;;;;;;;
193;Costa do Marfim;;;;;;;;;;;;;;;;
195;Croácia;;;;;;;;;;;;;;;;
196;Costa Rica;;;;;;;;;;;;;;;;
198;Kuwait;;;;;;;;;;;;;;;;
199;Cuba;;;;;;;;;;;;;;;;
200;Curaçao;;;;;;;;;;;;;;;;
229;Benin;;;;;;;;;;;;;;;;
232;Dinamarca;;;;;;;;;;;;;;;;
235;Dominica;;;;;;;;;;;;;;;;
239;Equador;;;;;;;;;;;;;;;;
240;Egito;;;;;;;;;;;;;;;;
243;Eritreia;;;;;;;;;;;;;;;;
244;Emirados Árabes Unidos;;;;;;;;;;;;;;;;
245;Espanha;;;;;;;;;;;;;;;;
246;Eslovênia;;;;;;;;;;;;;;;;
247;Eslováquia;;;;;;;;;;;;;;;;
249;Estados Unidos;;;;;;;;;;;;;;;;
251;Estônia;;;;;;;;;;;;;;;;
253;Etiópia;;;;;;;;;;;;;;;;
255;Ilhas Malvinas;;;;;;;;;;;;;;;;
259;Ilhas Faroe;;;;;;;;;;;;;;;;
267;Filipinas;;;;;;;;;;;;;;;;
271;Finlândia;;;;;;;;;;;;;;;;
275;França;;;;;;;;;;;;;;;;
281;Gabão;;;;;;;;;;;;;;;;
285;Gâmbia;;;;;;;;;;;;;;;;
289;Gana;;;;;;;;;;;;;;;;
291;Geórgia;;;;;;;;;;;;;;;;
293;Gibraltar;;;;;;;;;;;;;;;;
297;Granada;;;;;;;;;;;;;;;;
301;Grécia;;;;;;;;;;;;;;;;
309;Guadalupe;;;;;;;;;;;;;;;;
313;Guam;;;;;;;;;;;;;;;;
317;Guatemala;;;;;;;;;;;;;;;;
321;Guernsey;;;;;;;;;;;;;;;;
325;Guiana Francesa;;;;;;;;;;;;;;;;
329;Guiné;;;;;;;;;;;;;;;;
331;Guiné Equatorial;;;;;;;;;;;;;;;;
334;Guiné-Bissau;;;;;;;;;;;;;;;;
337;Guiana;;;;;;;;;;;;;;;;
341;Haiti;;;;;;;;;;;;;;;;
345;Honduras;;;;;;;;;;;;;;;;
351;Hong Kong;;;;;;;;;;;;;;;;
355;Hungria;;;;;;;;;;;;;;;;
357;Iêmen;;;;;;;;;;;;;;;;
359;Ilha de Man;;;;;;;;;;;;;;;;
361;Índia;;;;;;;;;;;;;;;;
365;Indonésia;;;;;;;;;;;;;;;;
369;Iraque;;;;;;;;;;;;;;;;
372;Irã;;;;;;;;;;;;;;;;
375;Irlanda;;;;;;;;;;;;;;;;
379;Islândia;;;;;;;;;;;;;;;;
383;Israel;;;;;;;;;;;;;;;;
386;Itália;;;;;;;;;;;;;;;;
388;Iugoslávia;;;;;;;;;;;;;;;;
391;Jamaica;;;;;;;;;;;;;;;;
399;Japão;;;;;;;;;;;;;;;;
403;Jordânia;;;;;;;;;;;;;;;;
411;Kiribati;;;;;;;;;;;;;;;;
420;Laos;;;;;;;;;;;;;;;;
426;Lesoto;;;;;;;;;;;;;;;;
427;Letônia;;;;;;;;;;;;;;;;
431;Líbano;;;;;;;;;;;;;;;;
434;Libéria;;;;;;;;;;;;;;;;
438;Líbia;;;;;;;;;;;;;;;;
440;Liechtenstein;;;;;;;;;;;;;;;;
442;Lituânia;;;;;;;;;;;;;;;;
445;Luxemburgo;;;;;;;;;;;;;;;;
447;Macau;;;;;;;;;;;;;;;;
449;Macedônia;;;;;;;;;;;;;;;;
450;Madagascar;;;;;;;;;;;;;;;;
452;Ilha da Madeira;;;;;;;;;;;;;;;;
455;Malásia;;;;;;;;;;;;;;;;
458;Malavi;;;;;;;;;;;;;;;;
461;Maldivas;;;;;;;;;;;;;;;;
464;Mali;;;;;;;;;;;;;;;;
467;Malta;;;;;;;;;;;;;;;;
474;Marrocos;;;;;;;;;;;;;;;;
476;Ilhas Marshall;;;;;;;;;;;;;;;;
477;Martinica;;;;;;;;;;;;;;;;
485;Maurício;;;;;;;;;;;;;;;;
488;Mauritânia;;;;;;;;;;;;;;;;
489;Mayotte;;;;;;;;;;;;;;;;
490;Ilhas Midway;;;;;;;;;;;;;;;;
493;México;;;;;;;;;;;;;;;;
494;Moldávia;;;;;;;;;;;;;;;;
495;Mônaco;;;;;;;;;;;;;;;;
497;Mongólia;;;;;;;;;;;;;;;;
498;Montenegro;;;;;;;;;;;;;;;;
499;Micronésia;;;;;;;;;;;;;;;;
501;Montserrat;;;;;;;;;;;;;;;;
505;Moçambique;;;;;;;;;;;;;;;;
507;Namíbia;;;;;;;;;;;;;;;;
508;Nauru;;;;;;;;;;;;;;;;
511;Ilha Christmas (Navidad);;;;;;;;;;;;;;;;
517;Nepal;;;;;;;;;;;;;;;;
521;Nicarágua;;;;;;;;;;;;;;;;
525;Níger;;;;;;;;;;;;;;;;
528;Nigéria;;;;;;;;;;;;;;;;
531;Niue;;;;;;;;;;;;;;;;
535;Ilha Norfolk;;;;;;;;;;;;;;;;
538;Noruega;;;;;;;;;;;;;;;;
542;Nova Caledônia;;;;;;;;;;;;;;;;
545;Papua Nova Guiné;;;;;;;;;;;;;;;;
548;Nova Zelândia;;;;;;;;;;;;;;;;
551;Vanuatu;;;;;;;;;;;;;;;;
556;Omã;;;;;;;;;;;;;;;;
566;Ilhas do Pacífico (EUA);;;;;;;;;;;;;;;;
573;Países Baixos (Holanda);;;;;;;;;;;;;;;;
575;Palau;;;;;;;;;;;;;;;;
576;Paquistão;;;;;;;;;;;;;;;;
578;Palestina;;;;;;;;;;;;;;;;
580;Panamá;;;;;;;;;;;;;;;;
586;Paraguai;;;;;;;;;;;;;;;;
589;Peru;;;;;;;;;;;;;;;;
599;Polinésia Francesa;;;;;;;;;;;;;;;;
603;Polônia;;;;;;;;;;;;;;;;
607;Portugal;;;;;;;;;;;;;;;;
611;Porto Rico;;;;;;;;;;;;;;;;
623;Quênia;;;;;;;;;;;;;;;;
625;Quirguistão;;;;;;;;;;;;;;;;
628;Reino Unido;;;;;;;;;;;;;;;;
640;República Centro-Africana;;;;;;;;;;;;;;;;
647;República Dominicana;;;;;;;;;;;;;;;;
660;Reunião;;;;;;;;;;;;;;;;
665;Zimbábue;;;;;;;;;;;;;;;;
670;Romênia;;;;;;;;;;;;;;;;
675;Ruanda;;;;;;;;;;;;;;;;
676;Rússia;;;;;;;;;;;;;;;;
677;Ilhas Salomão;;;;;;;;;;;;;;;;
687;El Salvador;;;;;;;;;;;;;;;;
690;Samoa;;;;;;;;;;;;;;;;
691;Samoa Americana;;;;;;;;;;;;;;;;
695;São Cristóvão e Névis;;;;;;;;;;;;;;;;
697;San Marino;;;;;;;;;;;;;;;;
698;Ilha de São Martinho (parte francesa);;;;;;;;;;;;;;;;
699;Sint Maarten;;;;;;;;;;;;;;;;
700;São Pedro e Miquelon;;;;;;;;;;;;;;;;
705;São Vicente e Granadinas;;;;;;;;;;;;;;;;
710;Santa Helena;;;;;;;;;;;;;;;;
