NO_PAIS;CO_PAIS
Afeganistão;13
Albânia;17
Alemanha;23
Burkina Faso;31
Andorra;37
Angola;40
Anguilla;41
Antígua e Barbuda;43
Antilhas Holandesas;47
Arábia Saudita;53
Argélia;59
Argentina;63
Armênia;64
Aruba;65
Austrália;69
Áustria;72
Azerbaijão;73
Bahamas;77
Barein;80
Bangladesh;81
Barbados;83
Belarus;85
Bélgica;87
Belize;88
Bermudas;90
Mianmar;93
Bolívia;97
Bósnia-Herzegovina;98
Bonaire, Saint Eustatius e Saba;99
Botsuana;101
Brasil;105
Brunei;108
Bulgária;111
Burundi;115
Butão;119
Cabo Verde;127
Cayman, Ilhas;137
Camboja;141
Camarões;145
Canadá;149
Canal, Ilhas do (Guernsey);150
Canárias, Ilhas;151
Cazaquistão;153
Catar;154
Chile;158
China;160
Taiwan (Formosa);161
Chipre;163
Cocos (Keeling), Ilhas;165
Colômbia;169
Comores;173
Congo;177
Cook, Ilhas;183
Coreia do Norte;187
Coreia do Sul;190
Costa do Marfim;193
Croácia;195
Costa Rica;196
Coveite (Kuweit);198
Cuba;199
Curaçao;200
Benin;229
Dinamarca;232
Dominica;235
Equador;239
Egito;240
Eritreia;243
Emirados Árabes Unidos;244
Espanha;245
Eslovênia;246
Eslováquia;247
Estados Unidos;249
Estônia;251
Etiópia;253
Falkland (Malvinas);255
Faroe, Ilhas;259
Filipinas;267
Finlândia;271
França;275
Gabão;281
Gâmbia;285
Gana;289
Geórgia;291
Gibraltar;293
Granada;297
Grécia;301
Guadalupe;309
Guam;313
Guatemala;317
Guernsey;321
Guiana Francesa;325
Guiné;329
Guiné Equatorial;331
Guiné-Bissau;334
Guiana;337
Haiti;341
Honduras;345
Hong Kong;351
Hungria;355
Iêmen;357
Ilha de Man;359
Índia;361
Indonésia;365
Iraque;369
Irã;372
Irlanda;375
Islândia;379
Israel;383
Itália;386
Iugoslávia;388
Jamaica;391
Japão;399
Jordânia;403
Kiribati;411
Laos;420
Lesoto;426
Letônia;427
Líbano;431
Libéria;434
Líbia;438
Liechtenstein;440
Lituânia;442
Luxemburgo;445
Macau;447
Macedônia;449
Madagascar;450
Madeira, Ilha da;452
Malásia;455
Malavi;458
Maldivas;461
Mali;464
Malta;467
Marrocos;474
Marshall, Ilhas;476
Martinica;477
Maurício;485
Mauritânia;488
Mayotte;489
Midway, Ilhas;490
México;493
Moldávia;494
Mônaco;495
Mongólia;497
Montenegro;498
Micronésia;499
Montserrat;501
Moçambique;505
Namíbia;507
Nauru;508
Christmas (Navidad), Ilha;511
Nepal;517
Nicarágua;521
Níger;525
Nigéria;528
Niue;531
Norfolk, Ilha;535
Noruega;538
Nova Caledônia;542
Papua Nova Guiné;545
Nova Zelândia;548
Vanuatu;551
Omã;556
Pacífico, Ilhas do (EUA);566
Países Baixos (Holanda);573
Palau;575
Paquistão;576
Palestina;578
Panamá;580
Paraguai;586
Peru;589
Polinésia Francesa;599
Polônia;603
Portugal;607
Porto Rico;611
Quênia;623
Quirguistão;625
Reino Unido;628
República Centro-Africana;640
República Dominicana;647
Reunião;660
Zimbábue;665
Romênia;670
Ruanda;675
Rússia;676
Salomão, Ilhas;677
El Salvador;687
Samoa;690
Samoa Americana;691
São Cristóvão e Névis;695
San Marino;697
São Martinho, Ilha de (parte francesa);698
Sint Maarten;699
São Pedro e Miquelon;700
São Vicente e Granadinas;705
Santa Helena;710
Santa Lúcia;715
São Tomé e Príncipe;720
Senegal;728
Seicheles;731
Serra Leoa;735
Sérvia;737
Singapura;741
Síria;744
Somália;748
Sri Lanka;750
Suazilândia;754
África do Sul;756
Sudão;759
Sudão do Sul;760
Suécia;764
Suíça;767
Suriname;770
Tadjiquistão;772
Tailândia;776
Tanzânia;780
Terras Austrais Francesas;781
Território Britânico do Oceano Índico;782
Djibuti;783
Chade;788
Tchecoslováquia;790
Tcheca, República;791
Timor Leste;795
Togo;800
Tonga;810
Trinidad e Tobago;815
Tunísia;820
Turcas e Caicos, Ilhas;823
Turcomenistão;824
Turquia;827
Tuvalu;828
Ucrânia;831
Uganda;833
Uruguai;845
Uzbequistão;847
Venezuela;850
Vietnã;858
Virgens, Ilhas (Britânicas);863
Virgens, Ilhas (Americanas);866
Fiji;870
Wake, Ilha;873
Wallis e Futuna, Ilhas;875
Congo, República Democrática;888
Zâmbia;890
Zona do Canal do Panamá;895
Bancos Centrais;995
